date,clinton,sanders,cruz,rubio,trump
retweets/other,114,88,80,23,18
primaries,141,202,414,233,92
health care/education,107,150,49,18,35
media/self-promotion,69,125,197,58,201
econ/foreign policy,142,183,116,26,56
