State,clinton,sanders,cruz,rubio,trump
retweets/other,-0.0337807692308,0.0188964285714,0.0968409090909,0.158815,0.473085
primaries,0.125724528302,0.233850793651,0.264489147287,0.291344642857,0.435524096386
health care/education,0.0749981132075,0.044420661157,0.150997560976,0.181933333333,-0.00156470588235
media/self-promotion,0.1892675,0.0918579710145,0.119070652174,0.21127962963,0.167306020067
econ/foreign policy,0.0238449101796,0.00495388888889,-0.0667762962963,-0.0651685714286,-0.108314084507
