State,clinton,sanders,cruz,rubio,trump
retweets/other,0.122807017544,0.0795454545455,0.1,0.173913043478,0.111111111111
primaries,0.191489361702,0.193069306931,0.190821256039,0.214592274678,0.391304347826
health care/education,0.0560747663551,0.0533333333333,0.122448979592,0.166666666667,0.371428571429
media/self-promo,0.0724637681159,0.104,0.0812182741117,0.103448275862,0.228855721393
econ/foreign policy,0.0492957746479,0.0491803278689,0.0603448275862,0.0769230769231,0.232142857143
