date,clinton,sanders,cruz,rubio,trump
retweets/other,101,59,44,35,21
primaries,76,131,451,147,74
health care/education,90,214,34,26,31
media/self-promotion,59,110,197,97,234
econ/foreign policy,138,263,95,49,34
