date,clinton,sanders,cruz,rubio,trump
retweets/other,78,56,22,20,20
primaries,53,63,129,56,83
health care/education,53,121,41,21,17
media/self-promotion,40,69,92,54,299
econ/foreign policy,167,180,135,35,71
