date,clinton,sanders,cruz,rubio,trump
topic 0: gun_control,114,88,80,23,18
topic 1: primaries,141,202,414,233,92
topic 2: health_edu,107,150,49,18,35
topic 3: media_promo,69,125,197,58,201
topic 4: policy,142,183,116,26,56
