State,clinton,sanders,cruz,rubio,trump
topic 0: gun_control,-0.00950297029703,0.102320338983,0.150486363636,0.0989942857143,0.0306238095238
topic 1: primaries,0.126655263158,0.155254198473,0.167585809313,0.34673877551,0.4719
topic 2: health_edu,0.0422188888889,0.0844411214953,0.210747058824,0.137288461538,0.107077419355
topic 3: media_promo,0.100708474576,0.179735454545,0.123800507614,0.0766103092784,0.167286324786
topic 4: policy,0.0405144927536,0.00644790874525,0.00109789473684,0.0441306122449,-0.213752941176
