State,clinton,sanders,cruz,rubio,trump
topic 0: gun_control,-0.00679561403509,0.0411590909091,0.20142625,0.25452173913,0.115294444444
topic 1: primaries,0.141653191489,0.153395049505,0.180339855072,0.288290128755,0.405084782609
topic 2: health_edu,0.0361813084112,0.0638546666667,0.124991836735,0.182744444444,0.0996657142857
topic 3: media_promo,0.1364,0.1107728,0.101346700508,0.213837931034,0.00420746268657
topic 4: policy,0.00767394366197,-0.00437759562842,-0.0230982758621,0.103307692308,-0.0288875
