date,topic 0: gun rights,topic 1: primaries,topic 2: health care/education,topic 3: media/promotion,topic 4: policy
2015-09-01,9,22,15,156,27
2015-10-01,29,82,32,446,72
2015-11-01,20,83,17,299,71
2015-12-01,18,62,26,348,68
2016-01-01,21,74,31,234,34
2016-02-01,18,92,35,201,56
